Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
80,Patrick Thompson,878,334,18:02 - s,95,185 reps - s,191,154 reps - s,221,225 reps - s,37,7:54 - s
81,Aj Jones,891,113,16:07 - s,102,180 reps - s,126,178 reps - s,457,205 reps - s,93,8:36 - s
82,Mauricio Acevedo,900,65,15:24 - s,550,136 reps - s,164,164 reps - s,18,271 reps - s,103,8:42 - s
83,Julian Taylor,901,93,15:49 - s,172,171 reps - s,426,118 reps - s,158,235 reps - s,52,8:14 - s
84,Raymar Domondon,907,471,18:52 - s,64,196 reps - s,79,191 reps - s,77,247 reps - s,216,9:35 - s
85,Jarrett Gonzalez,928,198,17:01 - s,266,162 reps - s,253,142 reps - s,129,240 reps - s,82,8:31 - s
86,Hank Hullett,942,376,18:17 - s,347,148 reps - s,58,215 reps - s,26,265 reps - s,135,8:59 - s
87,Sean Borders,948,349,18:08 - s,492,140 reps - s,9,16:55 - s,59,251 reps - s,39,7:55 - s
88,Dave Vaughan,949,182,16:51 - s,125,177 reps - s,417,118 reps - s,79,247 reps - s,146,9:06 - s
89,Chris Owens,951,175,16:47 - s,43,204 reps - s,340,130 reps - s,281,218 reps - s,112,8:49 - s
90,Arthur Simmons,959,238,17:24 - s,61,196 reps - s,390,129 reps - s,116,241 reps - s,154,9:11 - s
91,Mark Gray,963,122,16:11 - s,297,156 reps - s,151,166 reps - s,83,246 reps - s,310,10:15 - s
92,Christopher Collier,970,317,17:57 - s,54,201 reps - s,357,130 reps - s,125,240 reps - s,117,8:51 - s
93,Jeffrey Perry,973,102,16:02 - s,110,180 reps - s,308,132 reps - s,237,221 reps - s,216,9:35 - s
94,Michael Franco,984,390,18:24 - s,182,170 reps - s,76,192 reps - s,62,250 reps - s,274,9:58 - s
95,Greg Bronstein,992,189,16:58 - s,58,198 reps - s,616,104 reps - s,51,252 reps - s,78,8:30 - s
96,Jose Gallego,996,126,16:16 - s,229,166 reps - s,428,118 reps - s,120,241 reps - s,93,8:36 - s
97,Joseph Pereira,1000,359,18:11 - s,333,151 reps - s,249,142 reps - s,27,264 reps - s,32,7:50 - s
98,Tae Yu,1011,95,15:53 - s,164,172 reps - s,432,117 reps - s,44,254 reps - s,276,9:59 - s
99,John Morrison,1023,349,18:08 - s,369,146 reps - s,73,203 reps - s,139,238 reps - s,93,8:36 - s
100,Max Irwin III,1027,134,16:22 - s,189,170 reps - s,43,23:01 - s,193,230 reps - s,468,11:19 - s
101,Nicholas Kaye,1028,437,18:42 - s,106,180 reps - s,7,16:42 - s,295,217 reps - s,183,9:24 - s
102,Alan Dean,1038,26,14:10 - s,215,168 reps - s,399,129 reps - s,110,242 reps - s,288,10:05 - s
103,Carlo Zampogna,1046,54,15:04 - s,122,177 reps - s,242,142 reps - s,263,220 reps - s,365,10:39 - s
104,Pete Thrailkill,1049,46,14:48 - s,93,187 reps - s,879,81 reps - s,21,268 reps - s,10,7:10 - s
