Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
126,Steve Wilson,774,233,19:56 - s,164,125 reps - s,148,99 reps - s,86,215 reps - s,143,11:17 - s
127,Terry Morgan,783,228,19:53 - s,198,118 reps - s,150,99 reps - s,53,226 reps - s,154,11:40 - s
128,Kenneth Joshua Boyko,784,168,18:54 - s,100,141 reps - s,391,0,21,241 reps - s,104,10:19 - s
129,Bruce Weinkauf,790,193,19:24 - s,121,136 reps - s,179,94 reps - s,179,197 reps - s,118,10:41 - s
130,Beven Ward,798,72,16:54 - s,71,152 reps - s,216,82 reps - s,245,185 reps - s,194,12:41 - s
131,Chad Luarca,805,29,15:06 - s,58,162 reps - s,373,43 reps - s,147,201 reps - s,198,12:51 - s
132,Eric Smith,810,473,0,27,177 reps - s,54,156 reps - s,168,198 reps - s,88,9:58 - s
133,Marc Aubin,817,369,189 reps - s,172,122 reps - s,51,167 reps - s,196,195 reps - s,29,8:19 - s
134,Ryan Holyk,823,156,18:37 - s,204,117 reps - s,200,92 reps - s,139,203 reps - s,124,10:53 - s
135,Jonathan Gilman,824,261,220 reps - s,150,128 reps - s,177,94 reps - s,83,216 reps - s,153,11:29 - s
135,Jamie Nott,824,120,17:55 - s,178,121 reps - s,114,117 reps - s,130,204 reps - s,282,15:46 - s
137,Jeff Vandersteen,826,198,19:26 - s,234,112 reps - s,165,95 reps - s,152,200 reps - s,77,9:47 - s
138,Jarret Macdonald,832,178,19:04 - s,168,123 reps - s,288,61 reps - s,104,209 reps - s,94,10:04 - s
139,Jason Murphy,839,136,18:22 - s,239,112 reps - s,212,82 reps - s,114,207 reps - s,138,11:09 - s
140,Tejpal Singh,844,325,210 reps - s,41,170 reps - s,52,166 reps - s,67,220 reps - s,359,0
141,Ryan McLaughlin,852,202,19:27 - s,73,151 reps - s,120,107 reps - s,145,201 reps - s,312,17:42 - s
142,William Newhouse,853,114,17:48 - s,159,125 reps - s,156,96 reps - s,211,192 reps - s,213,13:13 - s
143,Rob Pare,856,113,17:45 - s,179,121 reps - s,205,88 reps - s,163,199 reps - s,196,12:45 - s
143,Jeroen de Jong,856,139,18:23 - s,215,115 reps - s,266,68 reps - s,115,207 reps - s,121,10:43 - s
145,Conor Corrigan,863,172,18:56 - s,87,143 reps - s,107,118 reps - s,266,179 reps - s,231,13:54 - s
146,Ian Grunewald,869,246,224 reps - s,181,120 reps - s,134,104 reps - s,146,201 reps - s,162,11:50 - s
147,Ron Wardrope,876,216,19:40 - s,158,125 reps - s,189,93 reps - s,162,199 reps - s,151,11:27 - s
148,Ryan Tresise,879,56,16:24 - s,320,85 reps - s,221,81 reps - s,137,203 reps - s,145,11:19 - s
149,Michael Wraight,880,290,215 reps - s,139,133 reps - s,105,119 reps - s,238,186 reps - s,108,10:25 - s
150,Brett Young,899,301,213 reps - s,151,128 reps - s,157,96 reps - s,228,189 reps - s,62,9:31 - s
150,Darin Dolling,899,129,18:14 - s,100,141 reps - s,285,63 reps - s,195,195 reps - s,190,12:28 - s
152,Andrew Ranftal,903,363,191 reps - s,177,121 reps - s,158,95 reps - s,107,208 reps - s,98,10:08 - s
153,Lincoln Stevens,906,296,214 reps - s,195,118 reps - s,74,132 reps - s,198,195 reps - s,143,11:17 - s
154,Matthew Luck,907,299,213 reps - s,171,122 reps - s,152,96 reps - s,161,199 reps - s,124,10:53 - s
155,Drew Walters,911,257,221 reps - s,355,78 reps - s,174,94 reps - s,62,221 reps - s,63,9:33 - s
156,Alex Roach,916,324,210 reps - s,235,112 reps - s,9,21:19 - s,132,204 reps - s,216,13:17 - s
157,Jeff Pasowicz,921,305,213 reps - s,206,116 reps - s,19,23:44 - s,32,234 reps - s,359,0
157,Justin Biehl,921,142,18:27 - s,136,135 reps - s,243,71 reps - s,41,231 reps - s,359,0
159,Tynan Unruh,922,87,17:09 - s,100,141 reps - s,391,0,166,199 reps - s,178,12:13 - s
160,Adam Carleton,924,241,19:59 - s,258,106 reps - s,41,179 reps - s,224,190 reps - s,160,11:47 - s
161,Shawn Thomas,927,165,18:50 - s,228,112 reps - s,185,94 reps - s,201,194 reps - s,148,11:22 - s
162,Chris Anderson,930,240,19:58 - s,120,137 reps - s,165,95 reps - s,182,197 reps - s,223,13:28 - s
163,Karl Michallik,931,18,14:22 - s,135,135 reps - s,286,63 reps - s,133,204 reps - s,359,0
164,Jack Balfour,937,59,16:32 - s,414,0,284,66 reps - s,80,217 reps - s,100,10:10 - s
164,Andy Cross,937,194,19:25 - s,281,94 reps - s,116,115 reps - s,121,206 reps - s,225,13:34 - s
166,Amit Kumar,938,233,19:56 - s,197,118 reps - s,138,104 reps - s,284,175 reps - s,86,9:51 - s
167,Baxter Patey,944,248,223 reps - s,134,135 reps - s,160,95 reps - s,225,190 reps - s,177,12:11 - s
168,Joel Bower,950,157,18:38 - s,309,87 reps - s,72,138 reps - s,204,193 reps - s,208,13:04 - s
169,Charlie Lovat,951,83,17:05 - s,312,86 reps - s,22,215 reps - s,175,197 reps - s,359,0
170,Dan Poirier,958,182,19:10 - s,119,137 reps - s,253,70 reps - s,234,187 reps - s,170,11:55 - s
171,Kevin Koczka,965,190,19:20 - s,289,92 reps - s,127,105 reps - s,243,185 reps - s,116,10:36 - s
172,Rj McKenty,980,112,17:44 - s,248,110 reps - s,273,67 reps - s,221,191 reps - s,126,10:54 - s
173,Keegan Epp,984,219,19:43 - s,93,141 reps - s,115,117 reps - s,296,172 reps - s,261,15:02 - s
174,Michael Fabbri,994,14,14:19 - s,414,0,333,48 reps - s,67,220 reps - s,166,11:51 - s
175,Sean Krepps,996,216,19:40 - s,212,115 reps - s,301,58 reps - s,150,201 reps - s,117,10:39 - s
176,Jared Silverthorn,1001,167,18:53 - s,24,184 reps - s,391,0,60,222 reps - s,359,0
177,jason therrien,1004,245,224 reps - s,300,89 reps - s,24,215 reps - s,242,185 reps - s,193,12:35 - s
178,Darryl Gillis,1005,275,217 reps - s,365,78 reps - s,38,180 reps - s,188,196 reps - s,139,11:10 - s
179,James Howe,1006,202,19:27 - s,165,124 reps - s,179,94 reps - s,240,186 reps - s,220,13:23 - s
180,Jay Williams,1007,118,17:53 - s,55,163 reps - s,249,70 reps - s,383,0,202,12:57 - s
181,Marc Grams,1010,329,208 reps - s,110,139 reps - s,213,82 reps - s,176,197 reps - s,182,12:20 - s
182,Chris Higgins,1019,144,18:28 - s,194,118 reps - s,220,81 reps - s,102,210 reps - s,359,0
183,Gwill Symons,1023,91,17:15 - s,325,83 reps - s,391,0,134,203 reps - s,82,9:49 - s
184,Lucas Bugg,1028,206,19:30 - s,109,139 reps - s,194,92 reps - s,298,171 reps - s,221,13:26 - s
185,Wade Blake,1032,152,18:35 - s,340,80 reps - s,153,96 reps - s,156,200 reps - s,231,13:54 - s
186,Keith Conway,1035,47,15:59 - s,22,188 reps - s,224,80 reps - s,383,0,359,0
187,Murray McCarron,1042,124,17:57 - s,114,138 reps - s,347,46 reps - s,98,210 reps - s,359,0
188,Neil Penner,1051,233,19:56 - s,185,119 reps - s,244,70 reps - s,247,185 reps - s,142,11:15 - s
189,Scott Clarke,1055,259,220 reps - s,160,125 reps - s,252,70 reps - s,181,197 reps - s,203,12:58 - s
190,Curtis Longjohn,1057,290,215 reps - s,414,0,93,130 reps - s,124,205 reps - s,136,11:08 - s
191,Quinn Cook,1058,185,19:12 - s,96,141 reps - s,362,43 reps - s,212,192 reps - s,203,12:58 - s
191,Brad Heintz,1058,194,19:25 - s,232,112 reps - s,259,69 reps - s,164,199 reps - s,209,13:09 - s
193,John Barber,1059,181,19:05 - s,367,78 reps - s,196,92 reps - s,109,208 reps - s,206,13:02 - s
194,Scott Hazlitt,1060,132,18:17 - s,70,152 reps - s,391,0,108,208 reps - s,359,0
195,Kirk Liedl,1065,111,17:43 - s,342,79 reps - s,319,55 reps - s,72,219 reps - s,221,13:26 - s
196,Frazer Logan,1069,166,18:51 - s,229,112 reps - s,271,67 reps - s,151,200 reps - s,252,14:37 - s
197,Chris Liddle,1072,126,17:59 - s,414,0,100,127 reps - s,335,150 reps - s,97,10:07 - s
198,Grant Burns,1073,170,18:55 - s,414,0,129,105 reps - s,205,193 reps - s,155,11:41 - s
198,David Wang,1073,244,20:00 - s,256,107 reps - s,246,70 reps - s,165,199 reps - s,162,11:50 - s
200,Edmund Ermine,1078,415,160 reps - s,237,112 reps - s,183,94 reps - s,166,199 reps - s,77,9:47 - s
200,Des Kappel,1078,178,19:04 - s,250,110 reps - s,199,92 reps - s,273,177 reps - s,178,12:13 - s
202,Jd Gibb,1086,418,160 reps - s,386,78 reps - s,110,118 reps - s,142,202 reps - s,30,8:21 - s
202,Brad Cruikshank,1086,202,19:27 - s,106,140 reps - s,386,6 reps - s,118,206 reps - s,274,15:33 - s
204,Sean MacConnachie,1090,318,211 reps - s,338,81 reps - s,204,89 reps - s,138,203 reps - s,92,10:01 - s
205,Zach Murray,1096,271,218 reps - s,223,113 reps - s,128,105 reps - s,189,196 reps - s,285,15:50 - s
206,Tony Heizmann,1098,373,186 reps - s,153,128 reps - s,242,71 reps - s,178,197 reps - s,152,11:28 - s
207,Shreejoy Tripathy,1100,233,19:56 - s,145,131 reps - s,263,68 reps - s,274,177 reps - s,185,12:24 - s
207,Nathan Fleck,1100,160,18:43 - s,272,101 reps - s,215,82 reps - s,222,191 reps - s,231,13:54 - s
209,James Crandles,1102,238,19:57 - s,100,141 reps - s,345,46 reps - s,160,199 reps - s,259,14:42 - s
210,Krzysztof Napierala,1112,272,218 reps - s,144,132 reps - s,197,92 reps - s,140,203 reps - s,359,0
211,Shaun Hildebrandt,1113,285,215 reps - s,224,113 reps - s,171,94 reps - s,267,179 reps - s,166,11:51 - s
212,Nolan Heuchert,1121,190,19:20 - s,143,132 reps - s,46,168 reps - s,383,0,359,0
213,Basil Vandegriend,1122,136,18:22 - s,172,122 reps - s,341,47 reps - s,193,195 reps - s,280,15:43 - s
214,Jeremy Brownlee,1127,241,19:59 - s,115,137 reps - s,247,70 reps - s,307,166 reps - s,217,13:19 - s
215,Mark Pocock,1134,273,218 reps - s,147,130 reps - s,182,94 reps - s,248,185 reps - s,284,15:47 - s
216,Wade Grocott,1136,177,19:03 - s,149,128 reps - s,68,141 reps - s,383,0,359,0
217,Brett Robertson,1139,233,19:56 - s,356,78 reps - s,121,106 reps - s,126,205 reps - s,303,16:53 - s
217,Curtis Sieben,1139,341,200 reps - s,219,114 reps - s,154,96 reps - s,233,187 reps - s,192,12:34 - s
219,Shaun Kirk,1140,173,18:57 - s,216,115 reps - s,313,57 reps - s,309,165 reps - s,129,10:58 - s
220,Lane Heggie,1143,194,19:25 - s,213,115 reps - s,201,92 reps - s,219,191 reps - s,316,18:06 - s
221,Lyndon Archdekin,1144,266,219 reps - s,294,91 reps - s,75,132 reps - s,253,183 reps - s,256,14:40 - s
222,Michael Stoddard,1147,473,0,200,117 reps - s,86,131 reps - s,294,172 reps - s,94,10:04 - s
223,Scott Warwaruk,1150,351,195 reps - s,414,0,67,141 reps - s,177,197 reps - s,141,11:14 - s
224,Glen Ostrup,1153,175,18:58 - s,146,130 reps - s,360,43 reps - s,229,189 reps - s,243,14:17 - s
225,Sean Laundrie,1155,262,220 reps - s,321,85 reps - s,136,104 reps - s,119,206 reps - s,317,18:09 - s
226,Sebastian Valdivia,1157,278,217 reps - s,414,0,217,82 reps - s,199,195 reps - s,49,9:08 - s
227,Adrian Oliver,1163,150,18:33 - s,336,82 reps - s,308,57 reps - s,223,190 reps - s,146,11:20 - s
228,Reza Pourfarahani,1166,221,19:45 - s,292,91 reps - s,209,83 reps - s,215,192 reps - s,229,13:47 - s
