Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
81,Scott Vanover,865,128,15:22 - s,250,169 reps - s,172,178 reps - s,169,237 reps - s,146,8:36 - s
82,Brandon Stenglein,869,183,15:53 - s,227,170 reps - s,313,143 reps - s,75,251 reps - s,71,7:58 - s
83,Benjamin Swan,870,58,14:17 - s,78,201 reps - s,495,129 reps - s,89,248 reps - s,150,8:38 - s
84,Steve Sorenson,880,270,16:43 - s,66,205 reps - s,263,154 reps - s,225,230 reps - s,56,7:42 - s
85,Paul Marso,881,35,13:40 - s,81,200 reps - s,269,154 reps - s,255,226 reps - s,241,9:17 - s
85,Mike Moran,881,176,15:50 - s,237,170 reps - s,234,166 reps - s,140,241 reps - s,94,8:08 - s
87,Bo Stallings,884,252,16:35 - s,364,152 reps - s,19,17:46 - s,84,250 reps - s,165,8:45 - s
88,Kevin Healy,898,91,14:55 - s,89,197 reps - s,338,142 reps - s,186,235 reps - s,194,8:58 - s
89,Hutch Hibbard,912,136,15:28 - s,112,192 reps - s,31,19:13 - s,514,207 reps - s,119,8:23 - s
90,Jake Viggers,915,423,17:45 - s,47,210 reps - s,150,191 reps - s,244,228 reps - s,51,7:38 - s
91,Michael Ortiz,934,33,13:38 - s,362,153 reps - s,156,179 reps - s,108,245 reps - s,275,9:31 - s
92,Andrew Walton,941,347,17:17 - s,132,185 reps - s,57,21:30 - s,227,230 reps - s,178,8:50 - s
92,Pat Sewald,941,62,14:23 - s,122,189 reps - s,153,191 reps - s,277,223 reps - s,327,9:50 - s
94,Kyle Sylvester,946,59,14:18 - s,68,205 reps - s,503,129 reps - s,78,251 reps - s,238,9:16 - s
95,Jon Bell,979,528,18:20 - s,55,209 reps - s,258,154 reps - s,67,252 reps - s,71,7:58 - s
96,Joe Piersanti Sr,981,201,16:11 - s,248,169 reps - s,208,167 reps - s,207,233 reps - s,117,8:22 - s
97,Charles Bohm,988,460,17:57 - s,163,177 reps - s,115,191 reps - s,115,244 reps - s,135,8:31 - s
98,Justin Green,990,215,16:21 - s,86,198 reps - s,262,154 reps - s,359,216 reps - s,68,7:55 - s
99,John Hayward,995,117,15:13 - s,107,193 reps - s,275,154 reps - s,234,230 reps - s,262,9:27 - s
100,Scott Pollack,999,213,16:20 - s,339,156 reps - s,201,167 reps - s,60,254 reps - s,186,8:53 - s
