Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
74,Michael Leroux,682,219,18:01 - s,52,175 reps - s,253,105 reps - s,42,246 reps - s,116,9:39 - s
75,Sandy Silliker,693,26,14:30 - s,61,173 reps - s,366,92 reps - s,135,216 reps - s,105,9:30 - s
76,Andrew Moreland,700,96,16:23 - s,64,173 reps - s,264,105 reps - s,193,208 reps - s,83,9:10 - s
77,Nicholas Romyn,701,243,18:20 - s,56,175 reps - s,141,131 reps - s,118,220 reps - s,143,9:58 - s
78,Nigel Ito,704,246,18:24 - s,104,164 reps - s,113,141 reps - s,127,219 reps - s,114,9:37 - s
79,Benoit Mongeon,708,78,15:59 - s,93,168 reps - s,105,141 reps - s,340,195 reps - s,92,9:20 - s
80,Ken Gilmer,710,100,16:26 - s,253,131 reps - s,135,131 reps - s,47,243 reps - s,175,10:23 - s
81,Matt Seguin,711,117,16:40 - s,65,173 reps - s,220,107 reps - s,211,207 reps - s,98,9:22 - s
82,Angelo Meffe,713,13,14:07 - s,6,221 reps - s,681,6 reps - s,10,265 reps - s,3,7:02 - s
83,Tommy Theofilaktidis,722,64,15:37 - s,204,137 reps - s,123,141 reps - s,250,205 reps - s,81,9:08 - s
84,Nicolas Thifault,737,182,17:31 - s,42,180 reps - s,57,155 reps - s,167,211 reps - s,289,11:39 - s
85,Steven Perron,740,191,17:38 - s,237,134 reps - s,130,132 reps - s,57,240 reps - s,125,9:48 - s
86,Ryan FitzGerald,741,291,18:54 - s,354,119 reps - s,4,17:08 - s,46,244 reps - s,46,8:31 - s
86,Greg Terepka,741,18,14:14 - s,366,117 reps - s,173,120 reps - s,29,250 reps - s,155,10:08 - s
86,Patrick Molina,741,179,17:30 - s,101,165 reps - s,44,178 reps - s,222,206 reps - s,195,10:37 - s
89,Steve Williams,744,229,18:12 - s,159,144 reps - s,43,178 reps - s,244,205 reps - s,69,8:56 - s
90,Mark Hocevar,748,202,17:51 - s,181,141 reps - s,56,155 reps - s,201,208 reps - s,108,9:31 - s
91,Taylor Eckert,754,41,15:02 - s,149,146 reps - s,179,119 reps - s,141,215 reps - s,244,11:12 - s
92,Gabriel Morin,764,16,14:09 - s,271,127 reps - s,407,81 reps - s,51,242 reps - s,19,7:54 - s
93,Jordan Skinner,767,78,15:59 - s,408,114 reps - s,32,191 reps - s,141,215 reps - s,108,9:31 - s
94,ric Bergeron,768,265,18:39 - s,278,126 reps - s,122,141 reps - s,31,250 reps - s,72,9:01 - s
95,Gus Smith,772,33,14:44 - s,7,219 reps - s,23,203 reps - s,59,239 reps - s,650,0
96,Mario Desfosses,775,87,16:15 - s,270,127 reps - s,197,117 reps - s,118,220 reps - s,103,9:27 - s
97,Francois Gauthier,777,161,17:11 - s,156,146 reps - s,153,130 reps - s,183,210 reps - s,124,9:47 - s
98,Brian Hayes,779,478,217 reps - s,108,163 reps - s,35,191 reps - s,106,223 reps - s,52,8:38 - s
99,Richard Labonte,784,185,17:34 - s,92,169 reps - s,184,118 reps - s,224,206 reps - s,99,9:23 - s
100,Cameron DiPietro,790,231,18:14 - s,120,161 reps - s,69,154 reps - s,111,221 reps - s,259,11:19 - s
100,Ryan Grigg,790,112,16:39 - s,181,141 reps - s,70,154 reps - s,137,216 reps - s,290,11:40 - s
102,Curt Biggs,791,73,15:56 - s,34,189 reps - s,297,99 reps - s,162,212 reps - s,225,10:57 - s
103,Nathan Klages,794,214,18:00 - s,233,135 reps - s,85,142 reps - s,67,237 reps - s,195,10:37 - s
104,Tommaso Panizza,798,156,17:08 - s,283,125 reps - s,166,129 reps - s,88,229 reps - s,105,9:30 - s
104,Felix Comtois,798,106,16:31 - s,174,141 reps - s,201,117 reps - s,152,214 reps - s,165,10:18 - s
106,Scott Rust,809,268,18:42 - s,145,147 reps - s,243,106 reps - s,71,236 reps - s,82,9:09 - s
107,Robert Meakin,815,458,219 reps - s,163,143 reps - s,114,141 reps - s,16,255 reps - s,64,8:50 - s
