Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
74,Eric Garro,1012,257,15:08 - s,376,180 reps - s,118,215 reps - s,97,260 reps - s,164,8:00 - s
75,Rodrigo Krieger,1029,70,13:51 - s,191,202 reps - s,546,142 reps - s,111,258 reps - s,111,7:42 - s
76,Vinicius Faria,1047,409,15:50 - s,167,204 reps - s,67,20:59 - s,55,266 reps - s,349,8:50 - s
77,Jess Piedra,1049,396,15:48 - s,84,213 reps - s,393,155 reps - s,76,262 reps - s,100,7:38 - s
78,Victor Sa,1059,377,15:42 - s,70,214 reps - s,287,168 reps - s,107,259 reps - s,218,8:17 - s
79,Wellington Sabino,1060,145,14:29 - s,209,198 reps - s,561,142 reps - s,17,278 reps - s,128,7:50 - s
80,Oyama Vasconcelos,1063,371,15:40 - s,364,180 reps - s,52,20:02 - s,196,250 reps - s,80,7:31 - s
81,Guilherme Esper,1073,80,13:55 - s,277,190 reps - s,193,191 reps - s,47,269 reps - s,476,9:17 - s
82,Gabriel Fonseca Calvo,1076,356,15:36 - s,55,217 reps - s,599,141 reps - s,60,265 reps - s,6,6:08 - s
83,Leandro Gomes,1086,267,15:11 - s,559,172 reps - s,126,215 reps - s,124,257 reps - s,10,6:24 - s
84,Javier Ortega,1101,27,13:06 - s,399,179 reps - s,4,13:43 - s,192,250 reps - s,479,9:19 - s
85,Daniel Salmazzo,1104,227,15:00 - s,503,175 reps - s,135,203 reps - s,136,255 reps - s,103,7:39 - s
86,Leonardo Rojas,1106,98,14:08 - s,35,225 reps - s,886,129 reps - s,66,264 reps - s,21,6:43 - s
87,Jose Carlos Martinez,1107,345,15:33 - s,39,222 reps - s,298,167 reps - s,325,241 reps - s,100,7:38 - s
88,Rafael Molezin,1110,76,13:53 - s,555,172 reps - s,295,167 reps - s,95,260 reps - s,89,7:34 - s
89,Damian Presmanes,1136,530,16:18 - s,116,209 reps - s,78,21:46 - s,90,261 reps - s,322,8:42 - s
90,Winci Rivas,1152,176,14:43 - s,90,211 reps - s,85,22:18 - s,708,220 reps - s,93,7:35 - s
91,Cesar Tuma,1159,104,14:10 - s,80,214 reps - s,80,21:56 - s,640,225 reps - s,255,8:25 - s
92,Victor Villalba,1174,267,15:11 - s,237,196 reps - s,495,154 reps - s,102,260 reps - s,73,7:27 - s
93,Luciano Dure,1209,92,14:02 - s,39,222 reps - s,198,191 reps - s,571,229 reps - s,309,8:39 - s
94,Thiago Bahia,1216,663,16:49 - s,22,230 reps - s,285,168 reps - s,78,262 reps - s,168,8:01 - s
95,Rafael Vasconcelos,1226,514,16:14 - s,131,207 reps - s,254,178 reps - s,219,249 reps - s,108,7:41 - s
96,Daniel Neves,1228,24,13:01 - s,167,204 reps - s,326,166 reps - s,272,245 reps - s,439,9:09 - s
97,Bruno Csar Amaro Mascarenhas,1246,471,16:06 - s,148,204 reps - s,212,191 reps - s,175,251 reps - s,240,8:21 - s
98,Alexander Rodrguez,1258,157,14:36 - s,518,174 reps - s,204,191 reps - s,166,252 reps - s,213,8:15 - s
99,David Orellana,1275,7,12:20 - s,9,248 reps - s,948,129 reps - s,131,256 reps - s,180,8:05 - s
100,Daniel Rocha R,1281,93,14:03 - s,107,209 reps - s,459,154 reps - s,243,247 reps - s,379,8:56 - s
101,Daniel Pesente,1284,86,13:59 - s,10,243 reps - s,911,129 reps - s,193,250 reps - s,84,7:32 - s
102,Leonardo Ferreira,1296,130,14:23 - s,129,208 reps - s,191,191 reps - s,134,255 reps - s,712,9:58 - s
103,Matheus Trizolio,1309,158,14:37 - s,372,180 reps - s,253,178 reps - s,311,242 reps - s,215,8:16 - s
104,Willams Costa,1311,200,14:54 - s,455,175 reps - s,444,154 reps - s,100,260 reps - s,112,7:43 - s
105,Camilo Arana,1313,38,13:22 - s,167,204 reps - s,804,130 reps - s,44,270 reps - s,260,8:26 - s
106,Fernando Bira,1331,222,14:59 - s,48,219 reps - s,988,119 reps - s,23,276 reps - s,50,7:10 - s
107,Nestor Rivera,1332,212,14:57 - s,745,163 reps - s,51,20:00 - s,294,243 reps - s,30,6:55 - s
108,Samir Mansour,1340,519,16:15 - s,464,175 reps - s,10,15:35 - s,138,255 reps - s,209,8:14 - s
109,Krloncho Ledesma,1347,790,17:12 - s,216,196 reps - s,169,191 reps - s,68,264 reps - s,104,7:40 - s
110,Carlos Peralta,1370,320,15:26 - s,343,181 reps - s,349,166 reps - s,316,241 reps - s,42,7:01 - s
111,Pedro Arthur Santos,1377,425,15:53 - s,59,216 reps - s,136,203 reps - s,593,228 reps - s,164,8:00 - s
112,Helber Mello,1378,288,15:17 - s,213,197 reps - s,278,170 reps - s,165,252 reps - s,434,9:08 - s
113,Lo Modesto,1383,344,15:32 - s,387,180 reps - s,76,21:43 - s,529,231 reps - s,47,7:07 - s
114,Eduardo Caram,1387,530,16:18 - s,271,191 reps - s,100,23:06 - s,310,242 reps - s,176,8:04 - s
115,Victor Antoniazzi,1395,272,15:13 - s,365,180 reps - s,81,21:59 - s,341,240 reps - s,336,8:46 - s
116,Samuel Luan,1398,485,16:09 - s,437,176 reps - s,235,178 reps - s,43,270 reps - s,198,8:10 - s
117,Claudio Silva,1416,922,17:31 - s,222,196 reps - s,32,18:09 - s,120,257 reps - s,120,7:47 - s
118,Anderson Tadeu Soares De Paiva,1420,200,14:54 - s,358,180 reps - s,141,203 reps - s,282,244 reps - s,439,9:09 - s
119,Buranelli Paulo,1429,133,14:24 - s,333,182 reps - s,801,130 reps - s,123,257 reps - s,39,7:00 - s
120,Andres Monzon,1437,536,16:19 - s,363,180 reps - s,171,191 reps - s,249,246 reps - s,118,7:45 - s
121,Fernando Nogueira,1453,31,13:09 - s,785,162 reps - s,214,191 reps - s,12,285 reps - s,411,9:02 - s
