Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
231,Doug Link,1429,203,18:36 - s,416,109 reps - s,366,69 reps - s,200,202 reps - s,244,12:04 - s
232,Jimmy Johnson,1436,167,18:08 - s,230,136 reps - s,504,47 reps - s,250,197 reps - s,285,12:44 - s
233,Paul Desa,1437,452,210 reps - s,223,136 reps - s,119,132 reps - s,384,180 reps - s,259,12:19 - s
234,Ryan Dawson,1439,342,220 reps - s,653,0,138,129 reps - s,115,215 reps - s,191,11:09 - s
235,Frank Filice,1449,426,212 reps - s,383,113 reps - s,192,105 reps - s,219,201 reps - s,229,11:50 - s
236,Luis Plaza,1459,464,208 reps - s,219,136 reps - s,6,19:49 - s,390,179 reps - s,380,14:54 - s
237,Edgar Tuliao,1461,416,213 reps - s,332,119 reps - s,288,92 reps - s,311,189 reps - s,114,9:57 - s
238,Joshua Lykes,1463,762,0,237,136 reps - s,78,154 reps - s,151,209 reps - s,235,12:00 - s
239,Robert Castillo,1485,337,221 reps - s,320,121 reps - s,322,81 reps - s,220,201 reps - s,286,12:46 - s
240,Russel Iglesias,1487,344,220 reps - s,461,103 reps - s,186,106 reps - s,321,188 reps - s,175,10:58 - s
241,Chris Towne,1497,599,179 reps - s,554,82 reps - s,15,23:06 - s,114,215 reps - s,215,11:34 - s
242,Vonryan Victorio,1500,145,17:49 - s,155,143 reps - s,405,63 reps - s,275,193 reps - s,520,0
