Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
91,Evgeniy Kuleshov,734,275,17:48 - s,223,154 reps - s,22,21:02 - s,93,237 reps - s,121,8:48 - s
92,Jaehwan Lee,742,129,15:40 - s,133,172 reps - s,148,141 reps - s,175,219 reps - s,157,9:18 - s
93,Chanhee Cho,746,143,15:51 - s,108,175 reps - s,181,129 reps - s,244,206 reps - s,70,7:54 - s
94,Kang Eun Hyeok,754,293,17:56 - s,190,163 reps - s,50,191 reps - s,134,226 reps - s,87,8:13 - s
94,Ik Ju Ahn,754,92,15:09 - s,293,138 reps - s,204,119 reps - s,70,247 reps - s,95,8:22 - s
96,Cheol Hwan Oh,755,232,17:15 - s,81,184 reps - s,167,130 reps - s,155,221 reps - s,120,8:47 - s
97,Fredrick Uy,761,241,17:24 - s,88,180 reps - s,137,141 reps - s,158,220 reps - s,137,8:59 - s
98,Chunky Lim,763,236,17:20 - s,65,196 reps - s,166,131 reps - s,261,204 reps - s,35,7:03 - s
99,Nikita Klepikov,771,291,17:54 - s,58,198 reps - s,154,138 reps - s,116,231 reps - s,152,9:15 - s
100,Christopher Trinidad,777,260,17:35 - s,87,181 reps - s,92,166 reps - s,100,235 reps - s,238,10:19 - s
101,Jiyong Kang,793,203,16:45 - s,84,183 reps - s,152,141 reps - s,283,201 reps - s,71,7:58 - s
101,Les Mallari,793,164,16:08 - s,145,170 reps - s,330,96 reps - s,73,246 reps - s,81,8:09 - s
103,Namhee Cho,795,147,15:54 - s,113,175 reps - s,260,107 reps - s,163,220 reps - s,112,8:41 - s
104,Denis Levin,798,356,18:32 - s,156,170 reps - s,24,21:08 - s,91,238 reps - s,171,9:30 - s
105,Artem Bobrolevv,800,175,16:18 - s,156,170 reps - s,28,21:23 - s,304,198 reps - s,137,8:59 - s
106,Pavel Nikitin,811,195,16:40 - s,85,182 reps - s,106,154 reps - s,179,217 reps - s,246,10:25 - s
107,Kerwin Go,815,358,18:33 - s,132,172 reps - s,60,178 reps - s,106,233 reps - s,159,9:19 - s
108,Eo Changho,819,212,16:57 - s,139,171 reps - s,186,129 reps - s,176,218 reps - s,106,8:34 - s
109,Ham Sangyun,831,324,18:13 - s,131,172 reps - s,164,131 reps - s,89,238 reps - s,123,8:50 - s
110,Sergey Kogan,834,80,14:54 - s,16,234 reps - s,521,69 reps - s,117,231 reps - s,100,8:27 - s
111,Denis Tyugaev,844,71,14:42 - s,156,170 reps - s,137,141 reps - s,361,191 reps - s,119,8:45 - s
112,Mikhail Gurevich,846,93,15:14 - s,97,178 reps - s,303,104 reps - s,208,212 reps - s,145,9:07 - s
113,Igor Barkin,851,105,15:24 - s,104,176 reps - s,250,107 reps - s,212,211 reps - s,180,9:33 - s
114,HeunGyu Park,879,61,14:31 - s,216,156 reps - s,232,117 reps - s,273,202 reps - s,97,8:24 - s
115,Kelvin Chin,882,228,17:11 - s,210,158 reps - s,52,191 reps - s,182,217 reps - s,210,9:58 - s
