Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
127,Roberto Gutierrez,1149,78,15:21 - s,165,172 reps - s,400,130 reps - s,140,236 reps - s,366,10:42 - s
128,Kidron Peterson,1154,269,17:31 - s,242,162 reps - s,182,166 reps - s,186,229 reps - s,275,9:58 - s
129,Jose Campoverde,1156,108,15:57 - s,56,197 reps - s,495,118 reps - s,190,228 reps - s,307,10:16 - s
130,Dallas Cooper,1195,66,15:10 - s,138,175 reps - s,529,117 reps - s,114,240 reps - s,348,10:33 - s
131,Domenic Wilhelm,1210,218,17:03 - s,842,114 reps - s,75,207 reps - s,51,252 reps - s,24,7:29 - s
132,Jose Vega,1215,269,17:31 - s,355,145 reps - s,444,129 reps - s,54,251 reps - s,93,8:32 - s
133,Ernando Valdelamar,1245,172,16:35 - s,180,170 reps - s,215,154 reps - s,611,195 reps - s,67,8:17 - s
134,Rogelio Armino,1252,169,16:34 - s,319,150 reps - s,335,138 reps - s,177,230 reps - s,252,9:47 - s
135,Thomas Adams,1255,214,16:58 - s,93,182 reps - s,413,130 reps - s,394,207 reps - s,141,9:01 - s
136,Randy Talley,1265,294,17:43 - s,269,160 reps - s,383,131 reps - s,226,222 reps - s,93,8:32 - s
137,Randy Minshew,1271,304,17:49 - s,185,170 reps - s,253,143 reps - s,96,243 reps - s,433,11:10 - s
138,Leonardo DAmbrosio,1272,28,13:58 - s,101,180 reps - s,816,93 reps - s,198,227 reps - s,129,8:54 - s
139,Francisco Ahumada,1277,43,14:29 - s,524,136 reps - s,511,117 reps - s,27,265 reps - s,172,9:15 - s
140,Matt Hendrix,1283,183,16:40 - s,611,126 reps - s,240,154 reps - s,147,235 reps - s,102,8:39 - s
141,Wesley Martin,1292,759,220 reps - s,216,166 reps - s,38,21:29 - s,144,236 reps - s,135,8:57 - s
142,Christopher Crisman,1295,600,19:40 - s,211,167 reps - s,108,191 reps - s,316,213 reps - s,60,8:08 - s
143,Shanyil Wickramasinghe,1304,301,17:48 - s,273,159 reps - s,316,141 reps - s,248,220 reps - s,166,9:14 - s
