Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
209,Simon Brown,1396,154,16:41 - s,150,155 reps - s,241,105 reps - s,88,234 reps - s,763,0
210,Orsan Yalman,1400,296,18:25 - s,328,128 reps - s,84,154 reps - s,420,185 reps - s,272,11:54 - s
211,Hugo Leao,1415,523,19:59 - s,224,141 reps - s,247,105 reps - s,202,208 reps - s,219,11:10 - s
212,Werner Kemm,1420,263,17:58 - s,257,138 reps - s,600,59 reps - s,180,212 reps - s,120,9:56 - s
213,Guy Ruediger,1429,219,17:27 - s,370,124 reps - s,366,92 reps - s,264,202 reps - s,210,11:02 - s
214,Ike Novikoff,1436,694,210 reps - s,171,147 reps - s,259,104 reps - s,90,233 reps - s,222,11:13 - s
215,Sefi Greiver,1442,107,15:50 - s,457,117 reps - s,277,102 reps - s,121,223 reps - s,480,14:59 - s
216,Fahad AL Kandari,1446,649,214 reps - s,388,122 reps - s,90,154 reps - s,208,207 reps - s,111,9:40 - s
217,Assaf Levine,1448,462,19:38 - s,120,164 reps - s,297,96 reps - s,305,198 reps - s,264,11:50 - s
218,George Paulsen,1464,136,16:24 - s,244,140 reps - s,400,83 reps - s,285,199 reps - s,399,13:34 - s
218,Lorenzo Luna,1464,254,17:51 - s,519,112 reps - s,226,106 reps - s,277,201 reps - s,188,10:46 - s
220,Ibrahim Kattan,1467,84,15:27 - s,585,107 reps - s,574,63 reps - s,70,239 reps - s,154,10:24 - s
221,Philip Erasmus,1468,262,17:57 - s,258,138 reps - s,182,117 reps - s,247,204 reps - s,519,15:58 - s
222,Boules Amin,1470,438,19:30 - s,481,115 reps - s,81,154 reps - s,309,197 reps - s,161,10:30 - s
223,Patel Yassine,1474,333,18:45 - s,97,170 reps - s,376,92 reps - s,357,192 reps - s,311,12:20 - s
224,Leon Prinsloo,1498,165,16:46 - s,691,88 reps - s,374,92 reps - s,185,211 reps - s,83,9:16 - s
225,Martin Blignaut,1501,100,15:44 - s,182,146 reps - s,415,82 reps - s,441,184 reps - s,363,13:04 - s
226,Eren Adali,1506,258,17:56 - s,395,121 reps - s,13,20:52 - s,77,237 reps - s,763,0
227,Manor Alter,1509,116,16:06 - s,423,119 reps - s,268,104 reps - s,302,198 reps - s,400,13:37 - s
228,Eddy Aizen,1515,441,19:32 - s,505,113 reps - s,149,129 reps - s,303,198 reps - s,117,9:52 - s
229,Ryan Strohmenger,1516,113,15:58 - s,156,153 reps - s,346,93 reps - s,138,220 reps - s,763,0
230,Abdullah Al Tuhami,1519,104,15:46 - s,127,162 reps - s,467,70 reps - s,58,240 reps - s,763,0
231,Gareth Bern,1523,330,18:44 - s,418,119 reps - s,404,83 reps - s,235,204 reps - s,136,10:07 - s
232,Juandre Els,1531,323,18:39 - s,208,142 reps - s,417,82 reps - s,427,185 reps - s,156,10:28 - s
233,Robert van der Merwe,1541,491,19:48 - s,357,125 reps - s,89,154 reps - s,389,189 reps - s,215,11:06 - s
234,Fc Knoetze,1543,386,19:07 - s,85,174 reps - s,718,47 reps - s,266,202 reps - s,88,9:20 - s
235,Cdric Mor,1546,405,19:17 - s,224,141 reps - s,369,92 reps - s,259,203 reps - s,289,12:02 - s
236,Rory van Zyl,1547,244,17:46 - s,271,136 reps - s,307,95 reps - s,432,184 reps - s,293,12:04 - s
